seat,year,party,name,votes,votes_pc,winner
Dhaka-7,1991,Independent,Md. Ibrahim Hossain,48,0.04,no
Noakhali-1,1991,Bangladesh Muslim League,M. N. Taher Khan,48,0.07,no
Noakhali-1,1991,Independent,M. A. Bari,48,0.07,no
Bagerhat-3,1996,NDP,Daniel Biswash,48,0.04,no
Dhaka-4,1996,Jatiya Janata Party (Asad),Md. Yusuf Ali,48,0.02,no
Dhaka-6,1996,Samridhya Bangladesh Babosai Samproday,Mizan Uddin Ahmed Chowdhury,48,0.02,no
Feni-3,1996,NAP (Bhashani),Rafiq Uddin Ahmed Intu Mian,48,0.04,no
Jessore-2,2001,Independent,Md. Jahidul Islam,48,0.02,no
Gazipur-3,2001,JP (Manju),Md. Azam Khan,48,0.04,no
Magura-1,2014,BNF,AKM Mutasim Billah,48,0.05,
Dhaka-5,1991,Bangladesh Jatiya Tanti Dal,Md. Yakub,49,0.04,no
Dhaka-9,2001,Independent,Abu Bakar Siddiq,49,0.02,no
Dhaka-10,2001,Independent,Md. Anowar Khan,49,0.03,no
Cox's Bazar-1,2001,Independent,Bahadur Shah,49,0.02,no
Chittagong-9,1991,Independent,Abdul Hai,50,0.05,no
Pirojpur-3,1996,Independent,Sudhir Ranjan Biswas,50,0.06,no
Narayanganj-4,1996,Jatiya Janata Party (Asad),Alamgir Hossain,50,0.03,no
Noakhali-6,1996,Zaker Party,Md. Abdur Rashid Miah,50,0.06,no
Rangpur-5,2001,Independent,Md. Kamrul Hasan,50,0.02,no
Narail-2,2001,JP (Manju),Md. Emdadul Haq Nanu,50,0.03,no
Patuakhali-4,2001,JP (Manju),Md. Nazrul Islam,50,0.04,no
Barisal-3,2001,Independent,Bakhtiar Uddin Khan Iqbal,50,0.04,no
Dhaka-10,2001,JP (Manju),Md. Abdur Rahman Shikder,50,0.03,no
Gopalganj-2,2001,JP (Manju),Md. Monirul Islam,50,0.03,no
Feni-3,2001,Independent,Mohi Uddin Ahmed,50,0.04,no
Comilla-3,2001,Independent,Md. Jalal Uddin,50,0.03,no
Dhaka-7,2008,Bangladesh Kalyan Party,M. Ibrahim Adil Khan,50,0.02,no
Noakhali-1,2008,JSD (Rab),Deen Mohammad Buiyan,50,0.03,no
Dhaka-6,1996,Progotishil Jatiatabadi Dal (Nurul A Moula),Nurul Amin Sarker,51,0.02,no
Dhaka-11,1996,Independent,M. Salaluddin Ahmed,51,0.02,no
Barisal-6,2001,JP (Manju),Shamsul Alam Salim,51,0.04,no
Dhaka-8,2001,Independent,Md. Jahangir Alam Masud,51,0.03,no
Dhaka-10,2001,Independent,Zobayed Hossain Tufan,51,0.03,no
Narayanganj-4,2001,Independent,Abu Hasnat Md. Shahid Badal,51,0.02,no
Chittagong-1,2001,Independent,Md. Nurul Absar,51,0.03,no
Narsingdi-3,2008,PDP,Md. A. Baten Sarker,51,0.03,no
Dhaka-6,1991,Independent,Sajan Muhammad,52,0.05,no
Dhaka-10,1991,NDP,Md. Enamul Karim Shuja,52,0.07,no
Noakhali-4,1991,NAP (Bhashani),Mosle Uddin,52,0.06,no
Satkhira-2,1996,FP,A. B. M. Sadrul Ullah,52,0.03,no
Noakhali-6,1996,Samridhya Bangladesh Andolan,Goutam Chowdhury,52,0.06,no
Narail-2,2001,Ganatantri Party,Shamuel Subash Bose,52,0.03,no
Dhaka-8,2001,Independent,Maububur Rahman Faisal,52,0.03,no
Brahmanbaria-5,2001,JP (Manju),Md. Jakir Hossain,52,0.03,no
Comilla-3,2001,Independent,Chowdhury Rafiqul Haq,52,0.03,no
Chittagong-8,2001,Independent,Md. Kamal Uddin,52,0.02,no
Bagerhat-2,1996,Independent,Fakir Md. Ali Hasan,53,0.04,no
Dhaka-10,1996,Independent,Zobayed Hossain Tufan,53,0.03,no
Lalmonirhat-3,2001,Independent,Mozahar Uddin Md. Faruk,53,0.04,no
Chandpur-4,2001,Independent,Md. Kaikobad,53,0.03,no
Chittagong-8,2001,Independent,Mofazzal Hossain Bhuiya,53,0.02,no
Pirojpur-1,1991,Bangladesh National Congress,Amar Krishna,54,0.04,no
Chittagong-10,1991,Independent,Abul Kalam Azad,54,0.05,no
Narsingdi-1,1996,Samridhya Bangladesh Andolan,Md. Zakir Hossain,54,0.04,no
Comilla-9,1996,Islamic Sashantantrik Andolan,Yakub,54,0.05,no
Rajshahi-4,2001,JP (Manju),Md. Nazrul Islam,54,0.03,no
Tangail-6,2001,JP (Manju),Md. A. B. M. Borhan Uddin,54,0.04,no
Cox's Bazar-1,2001,Independent,Nurul Kader,54,0.03,no
Chittagong-9,2001,Independent,Kazi Md. Yusuf,54,0.02,no
Dhaka-10,1991,Bangladesh Muslim League,Md. Humayun Kabir,55,0.07,no
Gazipur-4,2001,Independent,Mahmudul Alam Khan,55,0.03,no
Lakshmipur-2,2001,Independent,AHM Zaheer Hossain Hakim,55,0.03,no
Gaibandha-4,1991,NDP,Khandakar Abu Taher,56,0.04,no
Dhaka-7,1991,Independent,Millat Hossain,56,0.04,no
Dhaka-10,1991,Jatiya Janata Party (Asad),M. D. Rahman,56,0.07,no
Chittagong-9,1991,Independent,Afaz Ullah Khan,56,0.05,no
Dhaka-5,1996,FP,Fakhrul Ahsan Rana,56,0.02,no
Pirojpur-2,2001,Bangladesh People's Congress,Shah Syed Md. Nurul Huda Jamader,56,0.07,no
Feni-2,2001,Independent,Haroonar Rashid Majumder,56,0.03,no
Jhenaidah-2,1991,UCL,Md. Abdul Matin Miah,57,0.04,no
Noakhali-1,1991,Independent,Md. Khalilur Rahman Majumdar,57,0.09,no
Rangpur-3,1996,Independent,Moazzem Hossain,57,0.04,no
Noakhali-6,1996,Independent,Ziaul Haque Taluk Mian,57,0.07,no
Bagerhat-2,2001,Independent,Sheikh Dabir Uddin,57,0.03,no
Barguna-2,2001,Independent,Md. Bellal Hossain,57,0.06,no
Dhaka-5,2001,Independent,Md. Shahadat Hossain,57,0.01,no
Dhaka-6,2001,JP (Manju),Khandokar Mahatab Uddin,57,0.02,no
Pirojpur-2,1991,FP,S. M. Mozibur Rahman,58,0.09,no
Dhaka-4,1991,Independent,Habibur Rahman Mollah,58,0.05,no
Bhola-1,1996,FP,A. Hadi Masud,58,0.05,no
Barguna-2,2001,Independent,Sali Uddin,58,0.06,no
Pirojpur-1,2001,Independent,Manindra Nath Dhali,58,0.03,no
Comilla-3,2001,Bangladesh Vhashani Adarsha Bastabayana Parishad,Golam Faruk Sarkar,58,0.03,no
